Date,Open,High,Low,Close,Adj Close,Volume
2018-01-25,110.64,110.64,110.64,110.64,110.64,0
2018-01-26,110.64,110.64,110.64,110.64,110.64,0
2018-01-29,116.8,118.32,116.8,118.32,118.32,350
2018-01-30,123.16,127.24,121.96,122.2,122.2,15825
2018-01-31,119.84,122.72,119.84,122.6,122.6,2300
2018-02-01,120.6,120.6,115.68,116.428,116.428,2700
2018-02-02,120.16,133.2,120.12,131.39999,131.39999,7300
2018-02-05,135.75999,177.48,130.52,175.44,175.44,13075
2018-02-06,184.0,232.39999,172.464,172.464,172.464,3100
2018-02-07,174.96001,180.36,167.67999,178.16,178.16,6950
2018-02-08,181.72,220.72,181.44,220.72,220.72,25200
2018-02-09,198.88,225.60001,196.0,201.12,201.12,11125
2018-02-12,193.12,200.32001,192.0,194.2,194.2,3650
2018-02-13,195.24001,196.24001,190.39999,191.88,191.88,9150
2018-02-14,189.28,189.32001,169.28,169.92,169.92,22325
2018-02-15,164.12,171.36,163.53999,166.0,166.0,3375
2018-02-16,168.8,170.96001,162.24001,168.48,168.48,4650
2018-02-20,172.8,178.72,171.56,175.36,175.36,10975
2018-02-21,173.64,178.16,164.32001,178.0,178.0,35675
2018-02-22,172.96001,178.03999,171.2,175.67999,175.67999,13950
2018-02-23,170.08,171.44,161.88,161.96001,161.96001,13900
2018-02-26,157.28,158.03999,154.8,157.12,157.12,1025
2018-02-27,156.68401,170.48,156.68401,169.64,169.64,17375
2018-02-28,165.28,177.32001,164.8,176.64,176.64,18075
2018-03-01,175.28,197.28,175.28,188.8,188.8,11325
2018-03-02,198.72,202.08,180.48,180.48,180.48,13975
2018-03-05,183.88,183.88,172.16,173.84,173.84,8775
2018-03-06,172.48,180.03999,172.48,174.75999,174.75999,5250
2018-03-07,178.0,178.0,172.12,172.16,172.16,800
2018-03-08,170.32001,170.39999,170.32001,170.36,170.36,13950
2018-03-09,161.28,161.28,153.0,153.0,153.0,3700
2018-03-12,155.67999,160.0,155.67999,159.03999,159.03999,475
2018-03-13,160.32001,162.84,160.32001,162.84,162.84,400
2018-03-14,161.96001,167.88,161.96001,166.39999,166.39999,6000
2018-03-15,161.03999,162.75999,161.03999,161.75999,161.75999,200
2018-03-16,157.2,157.2,157.2,157.2,157.2,250
2018-03-19,161.28,180.72,161.28,173.48,173.48,4350
2018-03-20,172.32001,172.32001,170.16,170.16,170.16,475
2018-03-21,167.84,168.48,159.2,163.96001,163.96001,3825
2018-03-22,180.64,190.12,173.72,188.8,188.8,6900
2018-03-23,188.16,200.08,182.08,200.0,200.0,7825
2018-03-26,188.56,196.88,185.2,185.2,185.2,8450
2018-03-27,185.2,202.39999,185.2,199.12,199.12,8450
2018-03-28,204.92,206.0,200.38,200.38,200.38,13125
2018-03-29,196.0,196.0,196.0,196.0,196.0,100
2018-04-02,194.64,213.67999,193.75999,207.36,207.36,1125
2018-04-03,202.24001,204.67999,198.48,198.48,198.48,150
2018-04-04,210.48,210.88,194.16,194.72,194.72,700
2018-04-05,189.48,189.48,189.48,189.48,189.48,500
2018-04-06,191.64,206.8,191.64,199.2,199.2,225
2018-04-09,199.2,199.2,199.2,199.2,199.2,250
2018-04-10,199.2,199.2,199.2,199.2,199.2,25
2018-04-11,199.2,199.2,199.2,199.2,199.2,25
2018-04-12,192.36,192.36,192.36,192.36,192.36,200
2018-04-13,183.92,183.92,183.92,183.92,183.92,200
2018-04-16,174.60001,174.60001,174.60001,174.60001,174.60001,150
2018-04-17,161.2,161.2,161.2,161.2,161.2,175
2018-04-18,165.03999,165.03999,162.08,162.24001,162.24001,475
2018-04-19,166.72,169.36,163.84,163.88,163.88,5875
2018-04-20,170.2,170.2,168.44,168.44,168.44,325
2018-04-23,167.60001,167.60001,164.36,166.39999,166.39999,375
2018-04-24,166.36,166.36,166.36,166.36,166.36,200
2018-04-25,183.0,183.0,177.2,178.2,178.2,1150
2018-04-26,175.03999,175.03999,169.28,169.84,169.84,325
2018-04-27,166.96001,166.96001,165.7,165.7,165.7,75
2018-04-30,164.08,164.08,164.08,164.08,164.08,25
2018-05-01,169.2,169.44,169.2,169.44,169.44,75
2018-05-02,162.28,162.64,159.03999,159.03999,159.03999,150
2018-05-03,167.92,175.0,167.92,172.0,172.0,575
2018-05-04,161.2,161.2,161.2,161.2,161.2,50
2018-05-07,159.56,159.56,159.0,159.0,159.0,275
2018-05-08,159.0,159.0,159.0,159.0,159.0,0
2018-05-09,156.96001,156.96001,154.75999,155.16,155.16,725
2018-05-10,146.44,146.84,146.44,146.84,146.84,200
2018-05-11,145.67999,147.03999,143.32001,143.32001,143.32001,18675
2018-05-14,139.12,139.12,139.12,139.12,139.12,75
2018-05-15,146.28,149.2,145.28,149.2,149.2,425
2018-05-16,146.0,146.0,142.96001,144.25999,144.25999,200
2018-05-17,143.48,143.48,140.67999,140.67999,140.67999,375
2018-05-18,141.84,141.96001,141.67999,141.67999,141.67999,400
2018-05-21,134.64,137.24001,134.64,136.0,136.0,825
2018-05-22,136.968,136.968,136.968,136.968,136.968,100
2018-05-23,143.75999,143.75999,135.92,135.92,135.92,400
2018-05-24,138.56,141.96001,136.72,136.72,136.72,1700
2018-05-25,136.72,136.72,135.28,135.28,135.28,200
2018-05-29,144.24001,157.72,144.24001,153.67999,153.67999,2400
2018-05-30,147.67999,147.67999,146.24001,146.24001,146.24001,725
2018-05-31,147.8,149.28,145.84,147.75999,147.75999,950
2018-06-01,141.32001,141.36,140.52,140.52,140.52,2600
2018-06-04,140.52,140.52,140.52,140.52,140.52,50
2018-06-05,136.08,136.08,136.08,136.08,136.08,75
2018-06-06,132.39999,132.39999,129.75999,129.75999,129.75999,350
2018-06-07,128.92,134.56,128.92,131.28,131.28,3000
2018-06-08,129.72,129.72,129.72,129.72,129.72,50
2018-06-11,130.8,130.8,128.0,128.32001,128.32001,1175
2018-06-12,127.12,127.92,127.12,127.92,127.92,350
2018-06-13,126.64,129.28,126.64,128.56,128.56,375
2018-06-14,126.4,126.4,124.88,125.088,125.088,675
2018-06-15,128.0,128.08,126.48,126.48,126.48,550
2018-06-18,130.36,130.36,124.88,124.996,124.996,4375
2018-06-19,132.84,134.84,131.12,131.356,131.356,1200
2018-06-20,128.64,128.64,126.96,128.36,128.36,13125
2018-06-21,129.12,138.8,129.12,136.84,136.84,9350
2018-06-22,132.08,134.216,131.60001,133.28,133.28,425
2018-06-25,141.03999,156.2,141.03999,152.39999,152.39999,26250
2018-06-26,148.96001,149.44,143.52,146.16,146.16,375
2018-06-27,144.64,154.96001,144.28,154.0,154.0,1425
2018-06-28,158.96001,159.12,156.44,156.8,156.8,500
2018-06-29,146.96001,148.0,143.88,147.67999,147.67999,475
2018-07-02,156.39999,156.39999,150.96001,150.96001,150.96001,775
2018-07-03,150.96001,150.96001,150.96001,150.96001,150.96001,25
2018-07-05,144.64,144.64,144.64,144.64,144.64,50
2018-07-06,140.32001,140.32001,137.46001,137.46001,137.46001,225
2018-07-09,132.0,132.0,129.88,129.92,129.92,14075
2018-07-10,128.72,128.92,127.16,127.16,127.16,3925
2018-07-11,131.67999,132.96001,131.28,131.36,131.36,425
2018-07-12,129.75999,129.75999,128.0,128.0,128.0,675
2018-07-13,127.68,127.68,126.916,126.916,126.916,2675
2018-07-16,124.88,126.62,124.48,124.96,124.96,6975
2018-07-17,122.92,122.92,122.88,122.88,122.88,2550
2018-07-18,122.24,124.4,121.52,122.24,122.24,1275
2018-07-19,124.8,125.48,124.48,124.8,124.8,625
2018-07-20,126.52,126.6,124.64,125.068,125.068,675
2018-07-23,124.56,126.4,124.56,126.24,126.24,875
2018-07-24,121.36,125.76,121.36,122.96,122.96,3050
